# time S I R
125.262622 428 164 409
125.278820 428 163 410
125.279363 428 162 411
125.924852 428 161 412
126.072002 428 160 413
126.133436 427 161 413
126.206815 426 162 413
126.227585 425 163 413
126.250901 425 162 414
126.329670 424 163 414
126.368795 424 162 415
126.397978 423 163 415
126.398922 423 162 416
126.457153 423 161 417
126.601200 423 160 418
126.642326 423 159 419
126.662590 423 158 420
126.678553 422 159 420
126.731698 422 158 421
126.754529 421 159 421
126.763558 420 160 421
126.848129 420 159 422
126.848374 420 158 423
127.066320 419 159 423
127.137320 418 160 423
127.286369 418 159 424
127.564065 418 158 425
127.566132 417 159 425
127.794046 416 160 425
127.892771 416 159 426
127.949214 416 158 427
128.016233 415 159 427
128.084617 415 158 428
128.110659 415 157 429
128.166543 414 158 429
128.249381 413 159 429
128.251629 412 160 429
128.274261 411 161 429
128.608904 411 160 430
128.651579 410 161 430
128.848390 410 160 431
128.859146 409 161 431
128.954481 409 160 432
129.098862 409 159 433
129.114565 409 158 434
129.129772 409 157 435
129.152094 408 158 435
129.177201 407 159 435
129.226610 406 160 435
129.321387 405 161 435
129.360236 404 162 435
129.381788 404 161 436
129.411740 404 160 437
129.454546 403 161 437
129.506795 402 162 437
129.539558 402 161 438
129.544103 401 162 438
129.659583 401 161 439
129.696133 401 160 440
129.722382 401 159 441
130.023263 401 158 442
130.101579 400 159 442
130.182262 399 160 442
130.487007 399 159 443
130.593997 398 160 443
131.051162 397 161 443
131.058861 396 162 443
131.173227 396 161 444
131.308670 395 162 444
131.389397 395 161 445
131.393188 394 162 445
131.399541 393 163 445
131.564020 392 164 445
131.615497 391 165 445
131.626493 391 164 446
131.679729 391 163 447
131.742977 391 162 448
131.764742 390 163 448
132.105987 389 164 448
132.304665 389 163 449
132.336608 389 162 450
132.464530 388 163 450
132.466296 388 162 451
132.629430 387 163 451
132.659107 386 164 451
132.738360 386 163 452
132.788867 385 164 452
132.883021 385 163 453
132.920002 385 162 454
132.935699 384 163 454
133.015974 383 164 454
133.068708 383 163 455
133.100111 383 162 456
133.129956 382 163 456
133.310058 381 164 456
133.327641 380 165 456
133.344904 380 164 457
133.372619 379 165 457
133.386125 379 164 458
133.565234 378 165 458
133.639391 377 166 458
133.679592 377 165 459
133.717174 376 166 459
133.740959 376 165 460
133.795295 376 164 461
133.797175 376 163 462
133.819338 375 164 462
133.823368 374 165 462
133.891143 373 166 462
133.945578 373 165 463
134.039067 373 164 464
134.113910 372 165 464
134.140567 372 164 465
134.252497 372 163 466
134.258362 372 162 467
134.259913 372 161 468
134.334999 372 160 469
134.355418 371 161 469
134.464315 370 162 469
134.506992 369 163 469
134.531958 368 164 469
134.577931 367 165 469
134.659620 367 164 470
134.733328 367 163 471
134.834655 366 164 471
134.942934 366 163 472
134.961275 366 162 473
135.099842 366 161 474
135.180233 365 162 474
135.322437 364 163 474
135.429849 363 164 474
135.439615 362 165 474
135.457424 361 166 474
135.532941 360 167 474
135.545393 360 166 475
135.636330 360 165 476
135.721999 359 166 476
135.748985 359 165 477
135.769561 359 164 478
135.841508 359 163 479
135.856333 358 164 479
135.878547 358 163 480
135.967326 358 162 481
135.984843 358 161 482
136.014074 358 160 483
136.054215 358 159 484
136.196417 358 158 485
136.435263 357 159 485
136.461672 356 160 485
136.515705 356 159 486
136.592726 355 160 486
136.630284 355 159 487
136.756699 354 160 487
136.820620 354 159 488
136.941981 354 158 489
136.951790 354 157 490
136.983366 354 156 491
137.032327 354 155 492
137.035537 354 154 493
137.218965 353 155 493
137.253751 353 154 494
137.335241 353 153 495
137.377028 352 154 495
137.377943 351 155 495
137.519369 350 156 495
137.762795 350 155 496
137.911127 350 154 497
137.970794 350 153 498
138.074533 350 152 499
138.143355 350 151 500
138.245113 349 152 500
138.676030 349 151 501
138.772102 348 152 501
138.787703 347 153 501
138.859130 346 154 501
139.032805 346 153 502
139.203340 346 152 503
139.205260 345 153 503
139.214605 345 152 504
139.278408 345 151 505
139.423052 344 152 505
139.460060 344 151 506
139.680858 344 150 507
140.095985 343 151 507
140.165141 343 150 508
140.387433 343 149 509
140.593865 343 148 510
140.797053 343 147 511
140.919842 342 148 511
140.964062 342 147 512
140.994357 342 146 513
141.190538 342 145 514
141.193390 342 144 515
141.218987 341 145 515
141.228515 340 146 515
141.316669 339 147 515
141.347188 339 146 516
141.397890 339 145 517
141.468308 339 144 518
141.508956 339 143 519
141.568194 339 142 520
141.629286 339 141 521
141.781323 339 140 522
141.817514 339 139 523
141.826730 339 138 524
141.892123 339 137 525
141.975181 338 138 525
142.030462 338 137 526
142.337236 338 136 527
142.383113 338 135 528
142.393650 338 134 529
